iucn_id,sci_name,vuln,mp_particles_ml,log_mp_particles_ml,distance_km,log_toxic_pressure,eco_risk_score,eco_risk_index,eco_risk_class,geometry
55875,Lampyris noctiluca,1,2.0145462219570063e-09,-8.69560723784301,118.81134036356761,-10.110580585813828,7.75210085368078e-11,5.338254597555559e-07,medium,POINT (386283.811635 6648164.75626)
55876,Lampyris noctiluca,1,2.0235397649159604e-09,-8.693673688634282,118.58862202971972,-10.1086470366051,7.786691403522913e-11,5.362086178844528e-07,medium,POINT (387692.835864 6648171.514288)
55877,Lampyris noctiluca,1,6.50985040497277e-10,-9.185762368844793,175.294469679589,-10.600735716815612,2.5076347711433737e-11,1.7250157119743925e-07,medium,POINT (390389.283361 6590793.829227)
55878,Lampyris noctiluca,1,5.339498236882638e-10,-9.27168695128204,185.20370924273377,-10.686660299252859,2.057499321877935e-11,1.4148894029340803e-07,medium,POINT (391789.281805 6580744.108643)
55879,Lampyris noctiluca,1,5.089768876435498e-10,-9.292449505855632,187.59867240649746,-10.70742285382645,1.9614495678598047e-11,1.3487147531781414e-07,medium,POINT (397580.008171 6578018.167427)
55880,Lampyris noctiluca,1,5.095213003723553e-10,-9.291986133222139,187.5452199028936,-10.706959481192957,1.9635434629705992e-11,1.350157367758459e-07,medium,POINT (397603.604563 6578070.707421)
55881,Lampyris noctiluca,1,4.844968665407346e-10,-9.313813568739416,190.0632546183872,-10.728786916710234,1.8672956405412836e-11,1.2838462563543682e-07,medium,POINT (405050.861799 6575399.295998)
55882,Lampyris noctiluca,1,8.533884149143976e-10,-9.068344649094616,161.7580630409669,-10.483317997065434,3.286109288132296e-11,2.2613552271796235e-07,medium,POINT (405789.615789 6603705.556253)
55883,Lampyris noctiluca,1,8.867478010387256e-10,-9.051710394777324,159.84077212086294,-10.466683742748142,3.414414619379717e-11,2.3497527503582377e-07,medium,POINT (405876.652046 6605623.2118)
55884,Lampyris noctiluca,1,7.346186973352751e-10,-9.133347240763024,169.25122354023821,-10.548320588733842,2.829302682058754e-11,1.9466327432739405e-07,medium,POINT (406430.91179 6596215.840244)
55885,Lampyris noctiluca,1,1.6187329423512765e-09,-8.79055658497839,129.74885342103758,-10.205529932949208,6.229742085966443e-11,4.2894069530591114e-07,medium,POINT (406637.899252 6635721.747361)
55886,Lampyris noctiluca,1,5.049597243124091e-10,-9.295884052735381,187.99486920057134,-10.7108574007062,1.9459989396631123e-11,1.3380698543975327e-07,medium,POINT (408329.131747 6577493.873277)
55887,Lampyris noctiluca,1,1.9381152811008459e-10,-9.710385347013567,235.8744937004889,-11.125358694984385,7.492751081157108e-12,5.1357237164201976e-08,low,POINT (409067.068652 6529619.903745)
55888,Lampyris noctiluca,1,1.074718577654026e-09,-8.968301331046732,150.22809691045182,-10.38327467901755,4.137379144823171e-11,2.8478479797136253e-07,medium,POINT (412841.689946 6615429.490373)
55889,Lampyris noctiluca,1,1.074548383964175e-09,-8.968370047930158,150.23601559590347,-10.383343395900976,4.136724553708371e-11,2.8473969911796296e-07,medium,POINT (412889.557327 6615424.010749)
55890,Lampyris noctiluca,1,1.0745454181531897e-09,-8.968371245493318,150.23615359876692,-10.383344593464136,4.1367131467430426e-11,2.847389132211712e-07,medium,POINT (412899.130803 6615424.364273)
55891,Lampyris noctiluca,1,1.8791961537385015e-10,-9.723722947285388,237.41808813378194,-11.138696295256207,7.2661390528403995e-12,4.979596595037768e-08,low,POINT (413207.678375 6528179.894022)
55892,Lampyris noctiluca,1,1.052703827563477e-09,-8.97728144237786,151.26294245349155,-10.392254790348678,4.0527070290902965e-11,2.789512092651805e-07,medium,POINT (414122.791381 6614463.660706)
55893,Lampyris noctiluca,1,1.1069112284628386e-09,-8.955495036117725,148.75236589333934,-10.370468384088543,4.261197032549371e-11,2.933153823935307e-07,medium,POINT (422410.156777 6617710.450187)
55894,Lampyris noctiluca,1,6.308474910535265e-10,-9.19938773467121,176.86559584962157,-10.614361082642029,2.430182657898176e-11,1.6716541337043347e-07,medium,POINT (422435.973993 6589439.913705)
55895,Lampyris noctiluca,1,1.1798843613315669e-09,-8.927792628800104,145.56021712417564,-10.342765976770922,4.541862928198338e-11,3.126522016627414e-07,medium,POINT (422985.010627 6620994.344547)
55896,Lampyris noctiluca,1,9.33292428412009e-10,-9.029517170698757,157.2828738218059,-10.444490518669575,3.593432416969264e-11,2.4730892458721324e-07,medium,POINT (423682.96825 6609270.81188)
55897,Lampyris noctiluca,1,5.57917362023805e-10,-9.252652399394618,183.00826007935459,-10.667625747365436,2.1496821616300202e-11,1.4783998949333686e-07,medium,POINT (433725.794148 6584692.963756)
55898,Lampyris noctiluca,1,5.576812452705869e-10,-9.252835907505427,183.02942510727772,-10.667809255476245,2.148774020271488e-11,1.4777742198658573e-07,medium,POINT (433728.77751 6584672.007588)
55899,Lampyris noctiluca,1,8.783357581008288e-10,-9.055845265941054,160.31735616599096,-10.470818613911872,3.382060608080114e-11,2.3274620595820095e-07,medium,POINT (435957.994841 6608125.694213)
55900,Lampyris noctiluca,1,9.635532589861534e-10,-9.015673787257828,155.6874146680683,-10.430647135228647,3.709820226869813e-11,2.5532760473352136e-07,medium,POINT (441468.307409 6614061.310123)
55901,Lampyris noctiluca,1,5.419905200876925e-10,-9.265207752565008,184.45637727979482,-10.680181100535826,2.0884250772603556e-11,1.4361960793726606e-07,medium,POINT (441615.885884 6584638.900474)
55902,Lampyris noctiluca,1,8.844169221292188e-10,-9.052852182021603,159.97237367235226,-10.467825529992421,3.40544970049699e-11,2.343576260129612e-07,medium,POINT (442100.35944 6609806.956751)
55903,Lampyris noctiluca,1,8.841691019572093e-10,-9.052973754125354,159.9863860059485,-10.467947102096172,3.4044965459892674e-11,2.3429195727038437e-07,medium,POINT (442104.260075 6609793.48081)
55904,Lampyris noctiluca,1,1.546702788405449e-09,-8.810312434963398,132.02476727087503,-10.225285782934217,5.952703032328634e-11,4.098537517414974e-07,medium,POINT (443299.703389 6639058.197376)
55905,Lampyris noctiluca,1,1.5456905462431883e-09,-8.81059656897841,132.05750056476336,-10.225569916949228,5.94880979324303e-11,4.0958552228527473e-07,medium,POINT (443309.922518 6639027.089746)
55906,Lampyris noctiluca,1,1.920655402507906e-10,-9.714295235358057,236.32696935086707,-11.129268583328875,7.425597701953483e-12,5.08945757660386e-08,low,POINT (446055.752455 6532695.933904)
55907,Lampyris noctiluca,1,8.972723932684199e-10,-9.046591947347155,159.25082844421442,-10.461565295317973,3.454893820263155e-11,2.3776413896186378e-07,medium,POINT (446067.229495 6611547.828303)
55908,Lampyris noctiluca,1,1.4825845784771377e-09,-8.828687689711916,134.14169378878063,-10.243661037682735,5.706094532604379e-11,3.928633583116404e-07,medium,POINT (446159.279582 6637730.908176)
55909,Lampyris noctiluca,1,3.808410170256463e-10,-9.418117421905908,202.09970231877142,-10.833090769876726,1.4686192962524834e-11,1.0091733254449396e-07,medium,POINT (448921.539162 6568151.377273)
55910,Lampyris noctiluca,1,6.012516568503485e-10,-9.220221996543444,179.26812395885185,-10.635195344514262,2.3163525263474942e-11,1.5932294759418903e-07,medium,POINT (451785.727322 6592356.391337)
55911,Lampyris noctiluca,1,1.4887651764804925e-09,-8.826882181652019,133.93368707712168,-10.241855529622837,5.729866063386507e-11,3.9450112692411697e-07,medium,POINT (452530.984596 6640175.280247)
55912,Lampyris noctiluca,1,1.1182343139610405e-09,-8.951078983527408,148.2434920682246,-10.366052331498226,4.304747361388616e-11,2.963158354266004e-07,medium,POINT (455703.924042 6626091.454535)
55913,Lampyris noctiluca,1,1.5645833155626236e-09,-8.80532381560612,131.45006203916208,-10.220297163576939,6.021474290625471e-11,4.145918314769326e-07,medium,POINT (458529.902899 6645321.853268)
